,Mario,,,,,Donkey Kong,,,,,Link,,,,,Samus,,,,,Yoshi,,,,,Kirby,,,,,Fox,,,,,Pikachu,,,,,Luigi,,,,,Ness,,,,,Captain Falcon,,,,, Jigglypuff,,,,,Peach,,,,,Bowser,,,,,Ice Climbers,,,,,Sheik,,,,,Zelda,,,,,Dr. Mario,,,,,Pichu,,,,,Falco,,,,,Marth,,,,,Lucina,,,,,Young Link,,,,,Ganondorf,,,,,Mewtwo,,,,,Roy,,,,,Chrom,,,,,Mr. G&W,,,,,Meta Knight,,,,,Pit,,,,,Zero Suit Samus,,,,,Wario,,,,,Snake,,,,,Ike,,,,,Pokemon Trainer,,,,,Diddy Kong,,,,,Lucas,,,,,Sonic,,,,,King Dedede,,,,,Olimar,,,,,Lucario,,,,,R.O.B.,,,,,Toon Link,,,,,Wolf,,,,,Villager,,,,,Mega Man,,,,,Wii Fit Trainer,,,,,Rosalina,,,,,Little Mac,,,,,Greninja,,,,,Palutena,,,,,Pac-Man,,,,,Robin,,,,,Shulk,,,,,Bowser Jr,,,,,Duck Hunt,,,,,Ryu,,,,,Ken,,,,,Cloud,,,,,Corrin,,,,,Bayonetta,,,,,Inkling,,,,,Ridley,,,,,Richter,,,,,King K. Rool,,,,,Isabelle,,,,,Incineroar,,,,,Piranha Plant,,,,,Joker,,,,,Hero,,,,,Banjo,,,,,Terry,,,,,Byleth,,,,,Min Min,,,,,Steve,,,,,Sephiroth,,,,,Pyra/Mythra,,,,,Kazuya,,,,,Sora,,,,,Mii Brawler,,,,,Mii Swordfighter,,,,,Mii Gunner,,,
,Kurama,55,,24.2%,,HIKARU,30,,31.1%,,VinS,17,,21.8%,,Sisqui,116,,29.3%,,Yoshidora,34,,25.6%,,JeJaJeJa,14,,50%,,Light,93,,37.7%,,H4,30,,20.8%,,Luugi,29,,15%,,Scend,68,,24.5%,,Fatality,60,,26.5%,,BassMage,39,,53.8%,,MuteAce,65,,32.1%,,LeoN,32,,21.7%,,Big D,65,,38.7%,,Mr. R,44,,28.4%,,Yn,21,,31.3%,,JaZaR,23,,30.7%,,NaetorU,48,,35.2%,,Tilde,47,,28.5%,,Rizeasu,8,,47.1%,,ProtoBanham,89,,40.8%,,Jdizzle,39,,24.5%,,BetaMan,4,,57.1%,,WaDi,26.5,,57.6%,,Kola,72,,14.9%,,Lancelot,28,,28.9%,,Miya,89,,32.5%,,Abadango,37.5,,41.2%,,RaZe,9.5,,22.9%,,Marss,33,,22.1%,,Glutonny,98,,41.9%,,ApolloKage,84,,17.5%,,Yez,13,,20.8%,,Atelier,29,,13.6%,,Tweek,83,,27.2%,,Nitox,35,,38%,,Sonix,85,,29.8%,,Mero,6,,21.4%,,Shuton,86,,37.6%,,Polinomis,12,,33.3%,,Zomba,128,,21%,,Sigma,43,,37.4%,,Ouch!?,76,,15.5%,,Kept,41,,57.7%,,Peabnut,35,,22.2%,,varun,12,,21.4%,,Dabuz,72,,56.5%,,Peanut,24,,64%,,Tarik,66,,47.3%,,Chag,78,,16.4%,,Tea,77,,28.4%,,Tuitt,7,,12.1%,,Kome,55,,28.9%,,Yoda Cage,10,,34.5%,,embo_z,14,,35%,,Asimo,68,,44.2%,,Jahzz0,42,,25.8%,,Sparg0,48,,21%,,MKLeo,23.5,,25.5%,,Bloom4Eva,67,,32.8%,,Shirayuki,36,,22%,,Mezcaul,30,,47.6%,,T3 DOM,13,,26.3%,,KirbyKid,12,,31.6%,,kept,21.5,,36.8%,,Skyjay,50,,59.9%,,Budoshu,10,,54.1%,,zackray,40,,11.9%,,Akakikusu,42,,35.6%,,Wolfen,18,,50.7%,,Riddles,58,,34.4%,,MKLeo,53,,49.3%,,ProtoBanham,97,,31.1%,,acola,114,,16.8%,,KEN,73,,24.1%,,Shuton,102,,20.4%,,Riddles,76,,22.3%,,Kameme,70,,73.3%,,Bloom4Eva,10,,16.3%,,Shissho,3,,42.9%,,Capitancito,31,,73.8%
,Dark Wizzy,49,,21.6%,,ChunkyKong,19,,19.7%,,T,13,,16.7%,,IcyMist,47,,11.9%,,Suarez,20,,15%,,Gintama,8,,28.6%,,Kaninabe,28,,11.4%,,ShinyMark,27,,18.8%,,Yamanaction,25,,13%,,Syrup,66,,23.8%,,Ogey,46,,20.4%,,Senra,13,,17.9%,,Ling,45,,22.2%,,Hero,25,,16.9%,,Futari no Kiwami Ah!,34,,20.2%,,Eim,31,,20%,,Naskino,18,,26.9%,,Shissho,20,,26.7%,,Blacktwins,37.5,,27.5%,,MASA,26,,15.8%,,Dano,5,,29.4%,,Leon,67,,30.7%,,Skittles,36,,22.6%,,Smokk,2,,28.6%,,Gorioka,14.5,,31.5%,,Goblin,63,,13.1%,,Mr. R,21,,21.6%,,Maister,80,,29.3%,,Yei,20,,22%,,Nata,9,,21.7%,,Naitosharp,25,,16.8%,,DD,23,,9.8%,,Shogun,38,,7.9%,,PsyKoD,9,,14.4%,,Noi,29,,13.6%,,Aaron,42,,13.8%,,Regalo,16,,17.4%,,KEN,76,,26.7%,,ZAKI,5,,17.9%,,thirty4,29,,12.7%,,Gachipi,10,,27.8%,,MKBigBoss,66,,10.8%,,Ang,27,,23.5%,,Jakal,75,,15.3%,,Javi on Earth,10,,14.1%,,Repo,31,,19.6%,,X'avier,8,,14.3%,,yuzu,21,,16.5%,,bt.yamato,5,,13.3%,,iStudying,15,,10.8%,,Raflow,61,,12.8%,,MoDzai,35,,12.9%,,One Crit Man,7,,12.1%,,jaredisking1,44,,23.1%,,Mechakoopa,6,,20.7%,,Sekai Doggo,6,,15%,,Munekin,35,,22.7%,,takera,32,,19.6%,,Kola,26.5,,11.6%,,SHADIC,23,,25%,,Lima,39,,19.1%,,Space,35,,21.3%,,Nair^,7,,11.1%,,Squidplumber,12,,24.2%,,Yaura,6.5,,17.1%,,Jaka,13,,22.2%,,Sharpy,14,,16.8%,,Lucky,7,,37.5%,,Omega,37,,11%,,Nietono,12,,10.2%,,Toriguri,5,,14.1%,,AndresFn,22.5,,13.4%,,Yei,16,,14.9%,,Dabuz,33.5,,10.8%,,Onin,101,,14.8%,,Ned,51,,16.8%,,Cosmos,99,,19.8%,,Tarik,70.5,,20.7%,,Unleashed,5,,5.2%,,Injelly,8,,13%,,BmW,2,,28.6%,,Tsumusuto,7,,16.7%
,Nao,20,,8.8%,,Rarikkusu,9,,9.3%,,Yoshi_95,11,,14.1%,,quiK,40,,10.1%,,Justin22,11,,8.3%,,NightPixL,5,,17.9%,,Paseriman,25,,10.1%,,Neeroz,21,,14.6%,,WaKa,20,,10.4%,,Gackt,52,,18.8%,,Jogibu,27,,11.9%,,Hungrybox,12,,16.6%,,Umeki,34,,16.8%,,DarkThunder,23,,15.6%,,WaDi,18.5,,11%,,Rox,28,,18.1%,,ALtek,8,,11.9%,,Tsumusuto,14,,18.7%,,Nietono,28,,20.5%,,Larry Lurr,20,,12.1%,,MKLeo,4,,23.5%,,Mr. E,19,,8.7%,,SupahSemmie,13,,8.2%,,Bruh Gamer,1,,14.3%,,BetaMan,2,,4.3%,,Flow,59,,12.2%,,GotM,11,,11.3%,,Monte,15,,5.5%,,Jsan,6,,6.6%,,Silver,8,,19.3%,,Doorstop,23,,15.4%,,Huto,18,,7.7%,,MVD,36,,7.5%,,Mega,6,,9.6%,,Puppeh,26,,12.2%,,Zinoto,34,,11.1%,,JaZaR,14,,15.2%,,Peli,28,,9.8%,,Atomsk,4,,14.3%,,Noi,24,,10.5%,,Tsu,5.5,,15.3%,,Anathema,57,,9.4%,,Manzoku,14,,12.2%,,Oryon,65,,13.3%,,Horoa,8,,11.3%,,Mpg,26,,16.5%,,Injelly,8,,14.3%,,Homika,21,,16.5%,,tarakotori,4,,10.7%,,Anarchy,6,,4.3%,,Lui$,60,,12.6%,,EKING,26,,9.6%,,Silons,6,,10.3%,,FuerzaDON,14,,7.3%,,Doragon,3,,10.3%,,SkWiirrel,5,,12.5%,,AndresFn,15,,9.7%,,Munekin,20,,12.3%,,enhancedpv,20,,8.7%,,Neo,17,,18.5%,,Geist,17,,8.3%,,Colorondo8,24,,14.6%,,Momon,6,,9.5%,,Noxumbra,9,,18.2%,,RadioOvni,6,,15.8%,,Nery,9,,15.4%,,Mystery Sol,8,,9.6%,,Scend,1.5,,8.1%,,Lemmon,32,,9.5%,,Cesar,10,,8.5%,,The_Hunter,4,,11.3%,,OG~Mustaine,16,,9.5%,,Ly,7,,6.5%,,Justice,25,,8%,,Jake,56,,8.2%,,Sriks,41,,13.5%,,MKLeo,69.5,,13.9%,,Tea,24,,7%,,Sno,4,,4.2%,,Fritos,8,,13%,,Tsu,2,,28.6%,,M.M.Leo,1,,2.4%
,NoTag,18,,7.9%,,JohnY,6,,6.2%,,RaZe,11,,14.1%,,Abadango,32,,8.1%,,Bluesky,10,,7.5%,,Guilheww,1,,3.6%,,comet,12,,4.9%,,ESAM,18,,12.5%,,Vi,18,,9.3%,,PeW,26,,9.4%,,Andrik,21,,9.3%,,Braixen,4,,5.5%,,Kie,11,,5.4%,,Pollotopio,19,,12.9%,,Apple,13,,7.7%,,VoiD,8,,5.2%,,Ven,5,,7.5%,,Winder,6,,8%,,yuzu,11,,8.1%,,GotM,8,,4.8%,,,,,,,Javi,13,,6%,,Draver,12,,7.5%,,,,,,,Grade,1,,2.2%,,HIKARU,40,,8.3%,,Gidy,10,,10.3%,,LA GRIMACE,15,,5.5%,,L-Vis,5,,5.5%,,Lunamado,5,,12%,,Shoe,8,,5.4%,,Crepe Salee,16,,6.8%,,0mart,34,,7.1%,,Bestia,5,,8%,,Beast,22,,10.3%,,Ryuoh,21,,6.9%,,ChocoTaco,5,,5.4%,,Taikei,20,,7%,,Peli,4,,14.3%,,Myran,23,,10%,,Armadillo,5,,13.9%,,zackray,33,,5.4%,,Marvelous Marco,10,,8.7%,,Atelier,37,,7.6%,,BobbyWasabi,8,,11.3%,,Kameme,24,,15.2%,,HDtrainer,6,,10.7%,,Horkeu,6,,4.7%,,Alternis,4,,10.7%,,Jw,6,,4.3%,,Abadango,36,,7.6%,,JDV,21,,7.7%,,MorrocoYo,6,,10.3%,,Nicko,13,,6.8%,,Shiny,3,,10.3%,,Paint,4,,10%,,Vendetta,11,,7.1%,,AndresFn,15,,9.2%,,Niko,17,,7.4%,,Naranja,7,,7.6%,,frawg,12,,5.9%,,Levi,13,,7.9%,,zak9999,5.5,,8.7%,,YoseFu,7,,14.1%,,Bruho,5,,13.2%,,Axel~,7,,12%,,Elgor,4,,4.8%,,,,,,,Gorioka,27,,8%,,LeoN,9.5,,8.1%,,Croi,2,,5.6%,,Destany,14,,8.3%,,HIDE,6,,5.6%,,Omuatsu,22,,7.1%,,Quandale D.,52,,7.6%,,Tweek,18.5,,6.1%,,Blacktwins,35,,7%,,acola,22,,6.5%,,Deathspade,4,,4.2%,,ESAM,7,,11.4%,,,,,,,Amiin,1,,2.4%
,SamteaSilver,12,,5.3%,,Glug,6,,6.2%,,Otakuni,11,,14.1%,,Yaura,27,,6.8%,,JMafia,9,,6.8%,,,,,,,ZD,11,,4.5%,,Enki,8,,5.6%,,GuyGuy,14,,7.3%,,ATATA,21,,7.6%,,Sean,19,,8.4%,,Arika,2,,2.8%,,Leaf,11,,5.4%,,Gogesta,14,,9.5%,,Harasen,11,,6.5%,,Senn,6,,3.9%,,Ray,4,,6%,,BacoN,4,,5.3%,,drybie,6,,4.4%,,KÍke,8,,4.8%,,,,,,,Zomba,11,,5%,,Toast,11,,6.9%,,,,,,,Kojika Yoshio,1,,2.2%,,Alice,38,,7.9%,,Law,8,,8.2%,,Player 7,10,,3.7%,,AC,4,,4.4%,,Tet,4,,9.6%,,Choco,8,,5.4%,,SBF,11,,4.7%,,Grape,30,,6.2%,,Ghoul979,5,,8%,,Ned,16.5,,7.7%,,chicken,17,,5.6%,,Remi,4,,4.3%,,SuperGirlKels,16,,5.6%,,Castelia,3,,10.7%,,Tsubotsubo,22,,9.6%,,Hanadon,3,,8.3%,,Longo,33,,5.4%,,JoJoDaHoBo,9,,7.8%,,RyuKai,31,,6.3%,,Elam,3,,4.2%,,TriM,18,,11.4%,,Silver,6,,10.7%,,yamaD,5,,3.9%,,Jmk3008,0.5,,1.3%,,Lea,5,,3.6%,,Gen,27,,5.7%,,Sinji,19,,7%,,Asellus,5,,8.6%,,Ramses,11,,5.8%,,Trance,2,,6.9%,,fawn,4,,10%,,Huto,5,,3.2%,,Vendetta,13,,8%,,YOC,15,,6.6%,,Ly,7,,7.6%,,Surasura,9,,4.4%,,showers,11,,6.7%,,Smub,5,,7.9%,,Nubugorira,4,,8.1%,,huto,3.5,,9.2%,,Mr.Zercon,7,,12%,,JM,3,,3.6%,,,,,,,Tsubotsubo,21,,6.2%,,Usukeza,8,,6.8%,,Solid Gamer,2,,5.6%,,LISUTO,9,,5.3%,,Ghoul979,5,,4.7%,,Rimu,12,,3.9%,,Yonni,30,,4.4%,,M4E,18,,5.9%,,Space,34.5,,6.9%,,Nito,20,,5.9%,,Komorikiri,3,,3.1%,,Seibrik,6,,9.8%,,,,,,,Pineda,1,,2.4%
,Tavares,10,,4.4%,,Tubasuwa,5,,5.2%,,Kyon,5,,6.4%,,Toura,24,,6.1%,,Burst,7,,5.3%,,,,,,,RyuKai,7,,2.8%,,Abadango,7.5,,5.2%,,Wise,13,,6.7%,,PkChris,18,,6.5%,,Huto,17,,7.5%,,Gin,1.5,,2.1%,,Zinoto,6,,3%,,MONTALVO,6,,4.1%,,Gachipi,6,,3.6%,,WebbJP,6,,3.9%,,TheActuary,4,,6%,,Junes,2,,2.7%,,Mossan,3,,2.2%,,Andromeda,7,,4.2%,,,,,,,Pillow,5,,2.3%,,Kobe,11,,6.9%,,,,,,,Remrin,1,,2.2%,,Javi,20,,4.1%,,Lax,5,,5.2%,,zackray,8,,2.9%,,BONK!,4,,4.4%,,Chonren,2.5,,6%,,BubblesBruno,7,,4.7%,,Tweek,10.5,,4.5%,,AlanDiss,24,,5%,,Insie,4,,6.4%,,Tweek,12.5,,5.9%,,Jix,15,,4.9%,,Rinkururu,4,,4.3%,,Sonido,14,,4.9%,,Chipotle,3,,10.7%,,Dabuz,17,,7.4%,,MoneyRight,0.5,,1.4%,,WaDi,32,,5.3%,,Skaws,4,,3.5%,,Javi,28,,5.7%,,Moncho,1,,1.4%,,ForTseKe,5,,3.2%,,John Numbers,5,,8.9%,,MaT,1.5,,1.2%,,,,,,,GoofyGoober,5,,3.6%,,Chase,19,,4%,,Beji,12,,4.4%,,Kendo,4,,6.9%,,Elijmin,9,,4.7%,,TM7_ZAP,2,,6.9%,,Sigana,3,,7.5%,,Venom,4,,2.6%,,Mauu,8,,4.9%,,AnthonyIsntCool,8,,3.5%,,Naitosharp,5.5,,6%,,Sabi01,6,,2.9%,,Utop-ian,10,,6.1%,,Waniwani,4,,6.3%,,Disciple,2,,4%,,Kakpu,3,,7.9%,,Rizeo,1,,1.7%,,Quinn,2,,2.4%,,,,,,,Luminous,19,,5.6%,,Chugs,8,,6.8%,,Hashibobo,1.5,,4.2%,,Nathan,8,,4.7%,,Justinbyleth,5,,4.7%,,Rinor,12,,3.9%,,Soar,30,,4.4%,,Cali,18,,5.9%,,Sparg0,20.5,,4.1%,,Ferps,20,,5.9%,,rohan doge,2,,2.1%,,Lunamado,4.5,,7.3%,,,,,,,P,1,,2.4%
,SpamCop,7,,3.1%,,Duplex,5,,5.2%,,Bernie,4,,5.1%,,Spectral,16,,4%,,Floyd,6,,4.5%,,,,,,,Shogun,6.5,,2.6%,,Fryd Ryce,6,,4.2%,,Rarukun,9,,4.7%,,Toon,8,,2.9%,,Vanitas,9,,4%,,Hockey,1,,1.4%,,LuisJaggerM,4,,2%,,Lunamado,5,,3.4%,,1solo,5,,3%,,Kameme,5.5,,3.5%,,fairess,3,,4.5%,,kaedegi,2,,2.7%,,Tachyon,2,,1.5%,,FILIP,6,,3.6%,,,,,,,Tyranks,3,,1.4%,,Injelly,6.5,,4.1%,,,,,,,,,,,,Mugen,16,,3.3%,,CurryGovernor,5,,5.2%,,XF0,8,,2.9%,,Soar,3,,3.3%,,Cesar,2.5,,6%,,Melon,6,,4%,,Harlonga,8,,3.4%,,Chronos,24,,5%,,Bloom4Eva,3,,4.8%,,Alab,8,,3.7%,,Rivers,14,,4.6%,,Genarog,3,,3.3%,,Wonf,8.5,,3%,,Polo,2,,7.1%,,MFA,13,,5.7%,,,,,,,sssr,29,,4.8%,,Lv. 1,4,,3.5%,,Larry Lurr,14,,2.9%,,,,,,,Maphoo,4,,2.5%,,Red Oolong,4,,7.1%,,Lunamado,1,,0.8%,,,,,,,Ducky,5,,3.6%,,Quinn,17,,3.6%,,Chonren,12,,4.4%,,Mad Ice King,4,,6.9%,,Uncivil ninja,8,,4.2%,,Rafita,2,,6.9%,,mzk,2,,5%,,Kenoca,3,,1.9%,,Nito,7,,4.3%,,Naitosharp,7.5,,3.3%,,Cosmos,5.5,,6%,,Leaf,5.5,,2.7%,,Shaneak,9,,5.5%,,Conquest,3,,4.8%,,Moonlight,2,,4%,,Moo,2,,5.3%,,,,,,,Luchalitten,1,,1.2%,,,,,,,naitosharp,17.5,,5.2%,,Nair^,7,,5.9%,,VeCystim,1,,2.8%,,Patrino,7,,4.2%,,Rizeasu,4,,3.7%,,yuzu,11.5,,3.7%,,Mazebeans,24,,3.5%,,Yei,16,,5.3%,,Luminous,14.5,,2.9%,,Axiom XL,15,,4.4%,,Tet,2,,2.1%,,WhyDo,4,,6.5%,,,,,,,,,,
,Oryon,6,,2.6%,,Hero,4,,4.1%,,Rido,4,,5.1%,,Teaser,13,,3.3%,,Bac,5,,3.8%,,,,,,,Kindred,6,,2.4%,,Tachyon,6,,4.2%,,Elegant,9,,4.7%,,Tony Pajamas,6,,2.2%,,Karaage,9,,4%,,,,,,,Blank,4,,2%,,Sandro,5,,3.4%,,Yosi,4,,2.4%,,Sylph,4,,2.6%,,Danbi,2,,3%,,hinaks,1.5,,2%,,Karoegu,1,,0.7%,,Emustar,5,,3%,,,,,,,SamteaSilver,3,,1.4%,,z3,6,,3.8%,,,,,,,,,,,,Frostbyte,14,,2.9%,,Flow,4,,4.1%,,Frido,8,,2.9%,,Rox,3,,3.3%,,Sam,1,,2.4%,,Nanchan,6,,4%,,Mata-Door,7,,3%,,AC,13,,2.7%,,Vanguard,3,,4.8%,,Soar,8,,3.7%,,otek,11,,3.6%,,8Mitsuki,3,,3.3%,,Craftis,7,,2.5%,,El Bardo,1,,3.6%,,Meiki,5,,2.2%,,,,,,,Vidad,22,,3.6%,,Cattail,2,,1.7%,,Masha,13,,2.7%,,,,,,,Kasmir,4,,2.5%,,WaDi,2,,3.6%,,,,,,,,,,,,Tama,4,,2.9%,,Pepo,13,,2.7%,,Tooky,11,,4.1%,,Angel,4,,6.9%,,SoulArts,7,,3.7%,,Snormanda,1,,3.4%,,CaKe,1,,2.5%,,Buandon,3,,1.9%,,Smirk,6,,3.7%,,Dura,7,,3.1%,,Yei,2,,2.2%,,Demon,5,,2.4%,,Wonf,7,,4.3%,,Vreyvus,1,,1.6%,,KR,0.5,,1%,,,,,,,,,,,,Hakadama,1,,1.2%,,,,,,,MKLeo,16,,4.7%,,BeastModePaul,7,,5.9%,,KR,1,,2.8%,,DarkStalker,7,,4.2%,,TKM,4,,3.7%,,"Oi, George!",10,,3.2%,,Tropped,21,,3.1%,,Soar,14.5,,4.8%,,acola,12,,2.4%,,Wolfen,11.5,,3.4%,,Lax,1.5,,1.6%,,SLASHY,4,,6.5%,,,,,,,,,,
,Syadou,6,,2.6%,,Miya,3.5,,3.6%,,Manzoku,1,,1.3%,,Joker,12,,3%,,Hideyoshi,5,,3.8%,,,,,,,Keen,6,,2.4%,,Lalo,6,,4.2%,,Law,8,,4.1%,,PSI Force,5,,1.8%,,PeZ,8,,3.5%,,,,,,,Toad,4,,2%,,Wada,3,,2%,,Fuwa,3,,1.8%,,Captain L,4,,2.6%,,Soluna,2,,3%,,P,1,,1.3%,,,,,,,Chick,5,,3%,,,,,,,Legaia,2,,0.9%,,Kyros,5,,3.1%,,,,,,,,,,,,ZoZeF,13,,2.7%,,LA GRIMACE,2.5,,2.6%,,Kaeru,6,,2.2%,,rohan doge,2,,2.2%,,,,,,,shion,5,,3.4%,,Loaf,7,,3%,,BeJay !,13,,2.7%,,Goblin,2.5,,4%,,Tamopio,8,,3.7%,,Nietono,7,,2.3%,,Hakadama,2,,2.2%,,Daige,6,,2.1%,,,,,,,Cyber,5,,2.2%,,,,,,,Epic_Gabriel,22,,3.6%,,KidFromPopeyes,1,,0.9%,,Pepo,13,,2.7%,,,,,,,BlitzLuigy,4,,2.5%,,Same,2,,3.6%,,,,,,,,,,,,IceKnight,4,,2.9%,,Yei,11,,2.3%,,Rocke,11,,4.1%,,Bananime,3,,5.2%,,Sirknight,6,,3.1%,,,,,,,Raito,1,,2.5%,,takera,3,,1.9%,,BHIO,6,,3.7%,,Skar,6,,2.6%,,Paseriman,1.5,,1.6%,,Nizemamo,5,,2.4%,,Nazura,6,,3.7%,,Paco,1,,1.6%,,,,,,,,,,,,,,,,,NocoBros,0.5,,0.6%,,,,,,,Marss,13,,3.9%,,HOPE,5,,4.2%,,Obelisk,1,,2.8%,,Tsu,5,,3%,,Noi,2.5,,2.3%,,Pink Fresh,10,,3.2%,,BrickEnthusiast,16,,2.4%,,Gorioka,8,,2.6%,,Cloudy,11,,2.2%,,Brr,9,,2.6%,,Kurama,1.5,,1.6%,,Som3thing,2,,3.3%,,,,,,,,,,
